,msa,parents,children,housing,food,transportation,healthcare,other,childcare,taxes,total,median_family_income,affordability_ratio,total_commute,under_5,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-59,60-89,90+,est_commute,violent_crime,murder_and_nonnegligent_manslaughter,rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,homes_with_computer,homes_with_internet,in_preschool,in_kindergarten,in_junior_high,in_high_school,in_college_plus,less_than_high_school,highschool_grad_rate,high_school_to_associates,bachelors_plus,2010_population,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2019_population,10-14_scaled,15-19_scaled,20-24_scaled,2010_population_scaled,2011_population_scaled,2012_population_scaled,2013_population_scaled,2014_population_scaled,2015_population_scaled,2016_population_scaled,2017_population_scaled,2018_population_scaled,2019_population_scaled,25-29_scaled,30-34_scaled,35-39_scaled,40-44_scaled,45-59_scaled,5-9_scaled,60-89_scaled,90+_scaled,affordability_ratio_scaled,aggravated_assault_scaled,bachelors_plus_scaled,burglary_scaled,childcare_scaled,children_scaled,est_commute_scaled,food_scaled,healthcare_scaled,high_school_to_associates_scaled,highschool_grad_rate_scaled,homes_with_computer_scaled,homes_with_internet_scaled,housing_scaled,in_college_plus_scaled,in_high_school_scaled,in_junior_high_scaled,in_kindergarten_scaled,in_preschool_scaled,larceny_theft_scaled,less_than_high_school_scaled,median_family_income_scaled,motor_vehicle_theft_scaled,murder_and_nonnegligent_manslaughter_scaled,other_scaled,parents_scaled,property_crime_scaled,rape_scaled,robbery_scaled,taxes_scaled,total_scaled,total_commute_scaled,transportation_scaled,under_5_scaled,violent_crime_scaled,violent_clusters,property_clusters,commute_clusters,school_clusters,family_type
0,"Abilene, TX MSA",1,0,9246,3285,11075,5873,4541,0,5109,39129,57623,1.47,79739.0,3037.0,13428.0,18601.0,18049.0,12160.0,3867.0,4926.0,606.0,1482.0,1387.0,1568.0,628.0,18.702523232044545,317.3,3.5,61.4,42.1,210.4,2105.5,447.0,1517.0,141.4,94.7,91.3,5.9,2.8,43.1,22.6,25.6,11.2,88.8,63.4,25.5,165585,166634,167442,167473,168342,169688,170017,170429,171150,172060,0.07031878230901781,0.05273137663206213,0.04141835859307978,0.026413255058039,0.026403812442794848,0.02642974822002783,0.026356149439948913,0.02619884478365317,0.02623458786034268,0.025992094024667255,0.02568993901418569,0.025442034169054755,0.025277737574582973,0.024667804914260263,0.015649392826348717,0.009400397642052392,0.019497424868413604,0.007216192080169256,0.07845752652718661,0.006442056288460965,0.004993016759776536,0.4514925373134328,0.2258103975535168,0.21458333333333335,0.3401219992129083,0.0,0.0,0.08361549105279209,0.028872221218145686,0.0649548264384213,0.7238095238095238,0.6895306859205772,0.5172413793103452,0.7823834196891188,0.07350556696573343,0.23841059602649012,0.598326359832636,0.6580796252927401,0.24418604651162784,0.5957446808510639,0.35351150227183287,0.3104693140794224,0.1558715895156346,0.18977183320220298,0.19886363636363635,0.05427486309839252,0.0,0.3613648293963254,0.32681242807825084,0.1567885666246322,0.0949711413658833,0.03725842855127662,0.031080058592079608,0.12213057736261546,0.06776519052523172,0.23732939233243505,Low,Med,Lowest,Avg,single_0_child
1,"Abilene, TX MSA",1,1,12489,4842,11838,8869,6280,7572,5111,57001,34637,0.61,79739.0,3037.0,13428.0,18601.0,18049.0,12160.0,3867.0,4926.0,606.0,1482.0,1387.0,1568.0,628.0,18.702523232044545,317.3,3.5,61.4,42.1,210.4,2105.5,447.0,1517.0,141.4,94.7,91.3,5.9,2.8,43.1,22.6,25.6,11.2,88.8,63.4,25.5,165585,166634,167442,167473,168342,169688,170017,170429,171150,172060,0.07031878230901781,0.05273137663206213,0.04141835859307978,0.026413255058039,0.026403812442794848,0.02642974822002783,0.026356149439948913,0.02619884478365317,0.02623458786034268,0.025992094024667255,0.02568993901418569,0.025442034169054755,0.025277737574582973,0.024667804914260263,0.015649392826348717,0.009400397642052392,0.019497424868413604,0.007216192080169256,0.07845752652718661,0.006442056288460965,0.004993016759776536,0.13059701492537315,0.2258103975535168,0.21458333333333335,0.3401219992129083,0.19257375381485248,0.25,0.08361549105279209,0.09922284474968372,0.15993025836107144,0.7238095238095238,0.6895306859205772,0.5172413793103452,0.7823834196891188,0.1436169062804021,0.23841059602649012,0.598326359832636,0.6580796252927401,0.24418604651162784,0.5957446808510639,0.35351150227183287,0.3104693140794224,0.045768508583691,0.18977183320220298,0.19886363636363635,0.13107224871930753,0.0,0.3613648293963254,0.32681242807825084,0.1567885666246322,0.09502637320151336,0.14230380401561107,0.031080058592079608,0.19795289675047212,0.06776519052523172,0.23732939233243505,Low,Med,Lowest,Avg,single_1_child
2,"Abilene, TX MSA",1,2,12489,7094,12709,11866,7096,12797,4755,68806,34637,0.5,79739.0,3037.0,13428.0,18601.0,18049.0,12160.0,3867.0,4926.0,606.0,1482.0,1387.0,1568.0,628.0,18.702523232044545,317.3,3.5,61.4,42.1,210.4,2105.5,447.0,1517.0,141.4,94.7,91.3,5.9,2.8,43.1,22.6,25.6,11.2,88.8,63.4,25.5,165585,166634,167442,167473,168342,169688,170017,170429,171150,172060,0.07031878230901781,0.05273137663206213,0.04141835859307978,0.026413255058039,0.026403812442794848,0.02642974822002783,0.026356149439948913,0.02619884478365317,0.02623458786034268,0.025992094024667255,0.02568993901418569,0.025442034169054755,0.025277737574582973,0.024667804914260263,0.015649392826348717,0.009400397642052392,0.019497424868413604,0.007216192080169256,0.07845752652718661,0.006442056288460965,0.004993016759776536,0.08955223880597016,0.2258103975535168,0.21458333333333335,0.3401219992129083,0.32545778229908445,0.5,0.08361549105279209,0.20097596240737398,0.2549373910286892,0.7238095238095238,0.6895306859205772,0.5172413793103452,0.7823834196891188,0.1436169062804021,0.23841059602649012,0.598326359832636,0.6580796252927401,0.24418604651162784,0.5957446808510639,0.35351150227183287,0.3104693140794224,0.045768508583691,0.18977183320220298,0.19886363636363635,0.1671082847553436,0.0,0.3613648293963254,0.32681242807825084,0.1567885666246322,0.08519510645936318,0.2116894719518503,0.031080058592079608,0.28450760210672754,0.06776519052523172,0.23732939233243505,Low,Med,Lowest,Avg,single_2_child
3,"Abilene, TX MSA",1,3,16805,9464,13922,14862,9518,14405,6253,85228,34637,0.41,79739.0,3037.0,13428.0,18601.0,18049.0,12160.0,3867.0,4926.0,606.0,1482.0,1387.0,1568.0,628.0,18.702523232044545,317.3,3.5,61.4,42.1,210.4,2105.5,447.0,1517.0,141.4,94.7,91.3,5.9,2.8,43.1,22.6,25.6,11.2,88.8,63.4,25.5,165585,166634,167442,167473,168342,169688,170017,170429,171150,172060,0.07031878230901781,0.05273137663206213,0.04141835859307978,0.026413255058039,0.026403812442794848,0.02642974822002783,0.026356149439948913,0.02619884478365317,0.02623458786034268,0.025992094024667255,0.02568993901418569,0.025442034169054755,0.025277737574582973,0.024667804914260263,0.015649392826348717,0.009400397642052392,0.019497424868413604,0.007216192080169256,0.07845752652718661,0.006442056288460965,0.004993016759776536,0.05597014925373134,0.2258103975535168,0.21458333333333335,0.3401219992129083,0.366353001017294,0.75,0.08361549105279209,0.30806072654979216,0.34991282295133935,0.7238095238095238,0.6895306859205772,0.5172413793103452,0.7823834196891188,0.2369257377580802,0.23841059602649012,0.598326359832636,0.6580796252927401,0.24418604651162784,0.5957446808510639,0.35351150227183287,0.3104693140794224,0.045768508583691,0.18977183320220298,0.19886363636363635,0.2740681858328917,0.0,0.3613648293963254,0.32681242807825084,0.1567885666246322,0.126563751346276,0.3082122537264307,0.031080058592079608,0.40504819636291367,0.06776519052523172,0.23732939233243505,Low,Med,Lowest,Avg,single_3_child
4,"Abilene, TX MSA",1,4,16805,11584,14309,17858,10286,14405,5891,91138,34637,0.38,79739.0,3037.0,13428.0,18601.0,18049.0,12160.0,3867.0,4926.0,606.0,1482.0,1387.0,1568.0,628.0,18.702523232044545,317.3,3.5,61.4,42.1,210.4,2105.5,447.0,1517.0,141.4,94.7,91.3,5.9,2.8,43.1,22.6,25.6,11.2,88.8,63.4,25.5,165585,166634,167442,167473,168342,169688,170017,170429,171150,172060,0.07031878230901781,0.05273137663206213,0.04141835859307978,0.026413255058039,0.026403812442794848,0.02642974822002783,0.026356149439948913,0.02619884478365317,0.02623458786034268,0.025992094024667255,0.02568993901418569,0.025442034169054755,0.025277737574582973,0.024667804914260263,0.015649392826348717,0.009400397642052392,0.019497424868413604,0.007216192080169256,0.07845752652718661,0.006442056288460965,0.004993016759776536,0.04477611940298509,0.2258103975535168,0.21458333333333335,0.3401219992129083,0.366353001017294,1.0,0.08361549105279209,0.4038496294957528,0.44488825487398953,0.7238095238095238,0.6895306859205772,0.5172413793103452,0.7823834196891188,0.2369257377580802,0.23841059602649012,0.598326359832636,0.6580796252927401,0.24418604651162784,0.5957446808510639,0.35351150227183287,0.3104693140794224,0.045768508583691,0.18977183320220298,0.19886363636363635,0.30798445504327865,0.0,0.3613648293963254,0.32681242807825084,0.1567885666246322,0.11656678909723567,0.34294917007570425,0.031080058592079608,0.4435059127496771,0.06776519052523172,0.23732939233243505,Low,Med,Lowest,Avg,single_4_child
5,"Abilene, TX MSA",2,0,9586,6023,13455,11747,5656,0,5905,52372,86894,1.66,79739.0,3037.0,13428.0,18601.0,18049.0,12160.0,3867.0,4926.0,606.0,1482.0,1387.0,1568.0,628.0,18.702523232044545,317.3,3.5,61.4,42.1,210.4,2105.5,447.0,1517.0,141.4,94.7,91.3,5.9,2.8,43.1,22.6,25.6,11.2,88.8,63.4,25.5,165585,166634,167442,167473,168342,169688,170017,170429,171150,172060,0.07031878230901781,0.05273137663206213,0.04141835859307978,0.026413255058039,0.026403812442794848,0.02642974822002783,0.026356149439948913,0.02619884478365317,0.02623458786034268,0.025992094024667255,0.02568993901418569,0.025442034169054755,0.025277737574582973,0.024667804914260263,0.015649392826348717,0.009400397642052392,0.019497424868413604,0.007216192080169256,0.07845752652718661,0.006442056288460965,0.004993016759776536,0.5223880597014925,0.2258103975535168,0.21458333333333335,0.3401219992129083,0.0,0.0,0.08361549105279209,0.15258449304174954,0.25116500237755585,0.7238095238095238,0.6895306859205772,0.5172413793103452,0.7823834196891188,0.08085612366230677,0.23841059602649012,0.598326359832636,0.6580796252927401,0.24418604651162784,0.5957446808510639,0.35351150227183287,0.3104693140794224,0.29607985898221945,0.18977183320220298,0.19886363636363635,0.10351527998586824,1.0,0.3613648293963254,0.32681242807825084,0.1567885666246322,0.11695341194664605,0.11509615836742373,0.031080058592079608,0.35864056444400283,0.06776519052523172,0.23732939233243505,Low,Med,Lowest,Avg,married_0_child
6,"Abilene, TX MSA",2,1,12489,7496,14287,14743,7241,7572,6648,70477,94317,1.34,79739.0,3037.0,13428.0,18601.0,18049.0,12160.0,3867.0,4926.0,606.0,1482.0,1387.0,1568.0,628.0,18.702523232044545,317.3,3.5,61.4,42.1,210.4,2105.5,447.0,1517.0,141.4,94.7,91.3,5.9,2.8,43.1,22.6,25.6,11.2,88.8,63.4,25.5,165585,166634,167442,167473,168342,169688,170017,170429,171150,172060,0.07031878230901781,0.05273137663206213,0.04141835859307978,0.026413255058039,0.026403812442794848,0.02642974822002783,0.026356149439948913,0.02619884478365317,0.02623458786034268,0.025992094024667255,0.02568993901418569,0.025442034169054755,0.025277737574582973,0.024667804914260263,0.015649392826348717,0.009400397642052392,0.019497424868413604,0.007216192080169256,0.07845752652718661,0.006442056288460965,0.004993016759776536,0.4029850746268658,0.2258103975535168,0.21458333333333335,0.3401219992129083,0.19257375381485248,0.25,0.08361549105279209,0.2191397072112778,0.346140434300206,0.7238095238095238,0.6895306859205772,0.5172413793103452,0.7823834196891188,0.1436169062804021,0.23841059602649012,0.598326359832636,0.6580796252927401,0.24418604651162784,0.5957446808510639,0.35351150227183287,0.3104693140794224,0.3316360744941753,0.18977183320220298,0.19886363636363635,0.17351174704115882,1.0,0.3613648293963254,0.32681242807825084,0.1567885666246322,0.1374720388832123,0.22151102647293933,0.031080058592079608,0.4413196859783365,0.06776519052523172,0.23732939233243505,Low,Med,Lowest,Avg,married_1_child
7,"Abilene, TX MSA",2,2,12489,9494,15567,17739,7965,12797,6289,82341,94317,1.15,79739.0,3037.0,13428.0,18601.0,18049.0,12160.0,3867.0,4926.0,606.0,1482.0,1387.0,1568.0,628.0,18.702523232044545,317.3,3.5,61.4,42.1,210.4,2105.5,447.0,1517.0,141.4,94.7,91.3,5.9,2.8,43.1,22.6,25.6,11.2,88.8,63.4,25.5,165585,166634,167442,167473,168342,169688,170017,170429,171150,172060,0.07031878230901781,0.05273137663206213,0.04141835859307978,0.026413255058039,0.026403812442794848,0.02642974822002783,0.026356149439948913,0.02619884478365317,0.02623458786034268,0.025992094024667255,0.02568993901418569,0.025442034169054755,0.025277737574582973,0.024667804914260263,0.015649392826348717,0.009400397642052392,0.019497424868413604,0.007216192080169256,0.07845752652718661,0.006442056288460965,0.004993016759776536,0.332089552238806,0.2258103975535168,0.21458333333333335,0.3401219992129083,0.32545778229908445,0.5,0.08361549105279209,0.3094162298933671,0.44111586622285626,0.7238095238095238,0.6895306859205772,0.5172413793103452,0.7823834196891188,0.1436169062804021,0.23841059602649012,0.598326359832636,0.6580796252927401,0.24418604651162784,0.5957446808510639,0.35351150227183287,0.3104693140794224,0.3316360744941753,0.18977183320220298,0.19886363636363635,0.2054848966613673,1.0,0.3613648293963254,0.32681242807825084,0.1567885666246322,0.12755792438761704,0.29124347580758925,0.031080058592079608,0.568518334492696,0.06776519052523172,0.23732939233243505,Low,Med,Lowest,Avg,married_2_child
8,"Abilene, TX MSA",2,3,16805,11591,15936,20735,10289,14405,6900,96661,94317,0.98,79739.0,3037.0,13428.0,18601.0,18049.0,12160.0,3867.0,4926.0,606.0,1482.0,1387.0,1568.0,628.0,18.702523232044545,317.3,3.5,61.4,42.1,210.4,2105.5,447.0,1517.0,141.4,94.7,91.3,5.9,2.8,43.1,22.6,25.6,11.2,88.8,63.4,25.5,165585,166634,167442,167473,168342,169688,170017,170429,171150,172060,0.07031878230901781,0.05273137663206213,0.04141835859307978,0.026413255058039,0.026403812442794848,0.02642974822002783,0.026356149439948913,0.02619884478365317,0.02623458786034268,0.025992094024667255,0.02568993901418569,0.025442034169054755,0.025277737574582973,0.024667804914260263,0.015649392826348717,0.009400397642052392,0.019497424868413604,0.007216192080169256,0.07845752652718661,0.006442056288460965,0.004993016759776536,0.26865671641791045,0.2258103975535168,0.21458333333333335,0.3401219992129083,0.366353001017294,0.75,0.08361549105279209,0.40416591360925364,0.5360912981455064,0.7238095238095238,0.6895306859205772,0.5172413793103452,0.7823834196891188,0.2369257377580802,0.23841059602649012,0.598326359832636,0.6580796252927401,0.24418604651162784,0.5957446808510639,0.35351150227183287,0.3104693140794224,0.3316360744941753,0.18977183320220298,0.19886363636363635,0.3081169404698817,1.0,0.3613648293963254,0.32681242807825084,0.1567885666246322,0.1444312501725995,0.3754114355574365,0.031080058592079608,0.6051873198847263,0.06776519052523172,0.23732939233243505,Low,Med,Lowest,Avg,married_3_child
9,"Abilene, TX MSA",2,4,16805,14185,16091,23731,11229,14405,6155,102601,94317,0.92,79739.0,3037.0,13428.0,18601.0,18049.0,12160.0,3867.0,4926.0,606.0,1482.0,1387.0,1568.0,628.0,18.702523232044545,317.3,3.5,61.4,42.1,210.4,2105.5,447.0,1517.0,141.4,94.7,91.3,5.9,2.8,43.1,22.6,25.6,11.2,88.8,63.4,25.5,165585,166634,167442,167473,168342,169688,170017,170429,171150,172060,0.07031878230901781,0.05273137663206213,0.04141835859307978,0.026413255058039,0.026403812442794848,0.02642974822002783,0.026356149439948913,0.02619884478365317,0.02623458786034268,0.025992094024667255,0.02568993901418569,0.025442034169054755,0.025277737574582973,0.024667804914260263,0.015649392826348717,0.009400397642052392,0.019497424868413604,0.007216192080169256,0.07845752652718661,0.006442056288460965,0.004993016759776536,0.24626865671641796,0.2258103975535168,0.21458333333333335,0.3401219992129083,0.366353001017294,1.0,0.08361549105279209,0.5213717693836978,0.6310667300681566,0.7238095238095238,0.6895306859205772,0.5172413793103452,0.7823834196891188,0.2369257377580802,0.23841059602649012,0.598326359832636,0.6580796252927401,0.24418604651162784,0.5957446808510639,0.35351150227183287,0.3104693140794224,0.3316360744941753,0.18977183320220298,0.19886363636363635,0.3496290408055114,1.0,0.3613648293963254,0.32681242807825084,0.1567885666246322,0.1238573914004032,0.4103246814313256,0.031080058592079608,0.6205902812282621,0.06776519052523172,0.23732939233243505,Low,Med,Lowest,Avg,married_4_child
