"Geographic Area Name (Grouping)","4/1/2010 Census population!!Population","4/1/2010 population estimates base!!Population","7/1/2010 population estimate!!Population","7/1/2011 population estimate!!Population","7/1/2012 population estimate!!Population","7/1/2013 population estimate!!Population","7/1/2014 population estimate!!Population","7/1/2015 population estimate!!Population","7/1/2016 population estimate!!Population","7/1/2017 population estimate!!Population","7/1/2018 population estimate!!Population","7/1/2019 population estimate!!Population"
"Thomasville, GA Micro Area","44,720","44,723","44,747","44,590","44,528","44,770","44,765","44,796","44,950","44,619","44,334","44,451"
"Tiffin, OH Micro Area","56,745","56,742","56,618","56,522","56,106","55,847","55,803","55,650","55,467","55,267","55,194","55,178"
"Tifton, GA Micro Area","40,118","40,136","40,251","41,159","40,945","40,180","40,453","40,536","40,554","40,431","40,542","40,644"
"Toccoa, GA Micro Area","26,175","26,153","26,117","25,750","25,703","25,551","25,406","25,446","25,637","25,736","26,007","25,925"
"Toledo, OH Metro Area","651,429","651,435","651,372","650,166","648,750","648,403","647,228","645,973","645,441","644,364","643,089","641,816"
"Topeka, KS Metro Area","233,870","233,860","234,266","234,696","234,407","233,838","233,717","233,520","233,139","232,994","232,266","231,969"
"Torrington, CT Micro Area","189,927","189,880","189,763","188,972","187,570","186,836","185,343","184,122","182,793","181,667","181,095","180,333"
"Traverse City, MI Micro Area","143,372","143,367","143,341","144,331","145,011","146,215","147,288","147,812","148,261","148,631","149,811","150,653"
"Trenton-Princeton, NJ Metro Area","366,513","367,485","367,713","367,378","368,554","369,429","368,909","368,124","367,699","368,168","368,188","367,430"
"Troy, AL Micro Area","32,899","32,901","32,970","33,025","33,215","33,715","33,199","33,496","33,464","33,349","33,242","33,114"
"Truckee-Grass Valley, CA Micro Area","98,764","98,747","98,790","98,701","98,137","97,938","98,572","98,676","98,913","99,367","99,508","99,755"
"Tucson, AZ Metro Area","980,263","980,263","981,620","988,381","993,052","997,127","1,004,229","1,009,103","1,016,707","1,026,391","1,036,554","1,047,279"
"Tullahoma-Manchester, TN Micro Area","100,210","100,209","100,059","100,144","100,124","100,785","101,097","101,697","102,348","103,030","104,269","105,216"
"Tulsa, OK Metro Area","937,478","937,523","939,833","945,750","952,484","961,904","969,421","980,926","988,706","991,330","993,135","998,626"
"Tupelo, MS Micro Area","161,544","161,531","161,571","162,434","163,746","164,477","164,348","164,580","165,128","165,494","165,706","166,126"
"Tuscaloosa, AL Metro Area","239,207","239,214","239,481","240,363","242,328","244,378","246,988","249,066","250,099","250,933","251,257","252,047"
"Twin Falls, ID Metro Area","99,604","99,596","99,987","100,620","101,128","102,662","103,912","105,216","107,252","109,142","110,095","111,290"
"Tyler, TX Metro Area","209,714","209,725","210,408","212,764","214,811","216,475","219,642","222,390","225,161","227,195","229,749","232,751"
"Ukiah, CA Micro Area","87,841","87,850","87,799","87,334","87,288","87,054","87,225","87,107","87,285","87,576","87,401","86,749"
"Union, SC Micro Area","28,961","28,973","28,930","28,670","28,206","28,004","27,923","27,743","27,666","27,400","27,324","27,316"
"Union City, TN Micro Area","31,807","31,807","31,822","31,675","31,310","31,017","30,828","30,561","30,547","30,375","30,274","30,069"
"Urbana, OH Micro Area","40,097","40,101","40,078","39,824","39,573","39,461","39,078","38,963","38,741","38,851","38,785","38,885"
"Urban Honolulu, HI Metro Area","953,207","953,206","956,285","967,336","977,994","986,059","987,414","991,064","992,268","986,353","979,858","974,563"
"Utica-Rome, NY Metro Area","299,397","299,329","299,226","298,604","297,992","297,230","295,982","293,916","292,811","292,174","291,187","289,990"
"Uvalde, TX Micro Area","26,405","26,405","26,443","26,588","26,746","26,904","27,022","26,949","27,081","27,043","26,787","26,741"
"Valdosta, GA Metro Area","139,588","139,662","140,054","142,007","144,121","142,937","143,433","143,311","144,471","145,360","146,143","147,292"
"Vallejo, CA Metro Area","413,344","413,343","413,967","416,342","419,674","423,659","429,006","433,409","438,858","443,511","445,725","447,643"
"Van Wert, OH Micro Area","28,744","28,759","28,678","28,625","28,636","28,347","28,334","28,319","28,177","28,283","28,253","28,275"
"Vermillion, SD Micro Area","13,864","13,866","13,828","13,983","14,064","13,896","13,883","13,768","13,933","14,032","13,983","14,070"
"Vernal, UT Micro Area","32,588","32,588","32,467","33,241","34,641","35,682","36,918","37,791","36,264","35,228","35,405","35,734"
"Vernon, TX Micro Area","13,535","13,535","13,509","13,452","13,289","13,204","12,988","13,055","12,880","12,683","12,777","12,769"
"Vicksburg, MS Micro Area","48,773","48,770","48,834","48,318","48,215","48,289","47,941","47,481","46,958","46,682","46,093","45,381"
"Victoria, TX Metro Area","94,003","94,003","94,102","94,765","96,447","97,518","98,548","99,649","99,914","99,597","99,466","99,742"
"Vidalia, GA Micro Area","36,346","36,351","36,388","36,225","36,055","36,146","36,117","36,092","36,106","35,883","36,070","36,002"
"Vincennes, IN Micro Area","38,440","38,440","38,391","38,473","37,974","38,055","37,961","37,760","37,333","37,044","36,596","36,594"
"Vineland-Bridgeton, NJ Metro Area","156,898","156,627","156,699","157,043","156,934","156,098","156,009","154,712","153,233","151,423","150,635","149,527"
"Vineyard Haven, MA Micro Area","16,535","16,535","16,572","16,697","16,829","17,159","17,297","17,274","17,315","17,311","17,329","17,332"
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area","1,713,954","1,713,955","1,717,036","1,723,208","1,734,121","1,741,366","1,750,937","1,756,340","1,758,763","1,760,926","1,763,713","1,768,901"
"Visalia, CA Metro Area","442,179","442,182","442,969","446,784","449,779","452,460","455,138","457,161","459,235","462,308","464,589","466,195"
"Wabash, IN Micro Area","32,888","32,888","32,848","32,567","32,386","32,269","32,100","31,860","31,513","31,380","31,198","30,996"
"Waco, TX Metro Area","252,772","252,766","253,808","255,700","256,938","258,685","260,376","262,660","264,829","268,971","271,427","273,920"
"Wahpeton, ND-MN Micro Area","22,897","22,897","22,918","22,843","22,816","22,787","22,807","22,643","22,612","22,609","22,473","22,384"
"Walla Walla, WA Metro Area","58,781","58,781","58,915","59,444","59,329","59,361","59,510","59,932","60,008","60,512","60,615","60,760"
"Wapakoneta, OH Micro Area","45,949","45,917","45,898","45,741","45,770","45,801","45,737","45,734","45,766","45,753","45,736","45,656"
"Warner Robins, GA Metro Area","167,595","167,626","168,508","171,561","173,592","174,689","175,717","176,293","178,507","180,163","182,886","185,409"
"Warren, PA Micro Area","41,815","41,811","41,771","41,506","41,261","40,954","40,658","40,334","40,026","39,679","39,551","39,191"
"Warrensburg, MO Micro Area","52,595","52,565","52,686","53,297","54,124","54,139","54,010","53,496","53,497","53,735","53,621","54,062"
"Warsaw, IN Micro Area","77,358","77,355","77,340","77,353","77,603","77,865","78,371","78,547","78,732","79,026","79,416","79,456"
"Washington, IN Micro Area","31,648","31,654","31,720","31,950","32,116","32,282","32,680","32,823","33,010","33,136","33,278","33,351"
"Washington, NC Micro Area","47,759","47,784","47,822","47,675","47,431","47,382","47,339","47,389","47,369","47,033","47,056","46,994"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","5,649,540","5,649,688","5,678,491","5,782,319","5,878,942","5,963,312","6,031,945","6,093,950","6,149,301","6,211,341","6,247,841","6,280,487"
"Washington Court House, OH Micro Area","29,030","29,034","29,014","28,867","28,767","28,686","28,650","28,611","28,670","28,639","28,653","28,525"
"Waterloo-Cedar Falls, IA Metro Area","167,819","167,819","167,920","168,443","168,811","169,853","170,450","170,852","170,110","169,359","168,936","168,522"
"Watertown, SD Micro Area","33,130","33,124","33,127","33,397","33,573","33,791","33,907","33,875","33,979","34,123","34,103","34,173"
"Watertown-Fort Atkinson, WI Micro Area","83,686","83,688","83,724","83,846","84,359","84,604","84,361","84,488","84,464","84,733","85,049","84,769"
"Watertown-Fort Drum, NY Metro Area","116,229","116,232","116,592","117,752","120,235","118,490","117,971","116,371","112,980","113,157","111,866","109,834"
"Wauchula, FL Micro Area","27,731","27,737","27,730","27,684","27,439","27,311","27,266","27,177","27,219","27,154","27,168","26,937"
"Wausau-Weston, WI Metro Area","162,806","162,804","162,829","162,844","162,870","163,189","163,241","163,181","162,935","163,203","163,094","163,285"
"Waycross, GA Micro Area","55,070","55,058","55,123","55,048","54,798","54,760","54,523","54,421","54,752","54,865","54,975","55,199"
"Weatherford, OK Micro Area","27,469","27,540","27,580","27,796","28,590","29,310","29,509","29,565","29,222","28,974","28,995","29,003"
"Weirton-Steubenville, WV-OH Metro Area","124,454","124,455","124,329","123,482","122,680","122,139","121,507","120,665","119,269","118,074","116,982","116,074"
"Wenatchee, WA Metro Area","110,884","110,887","111,264","111,876","112,669","113,110","113,894","115,586","117,221","118,325","119,501","120,629"
"West Plains, MO Micro Area","40,400","40,386","40,552","40,584","40,537","40,236","40,122","40,070","40,132","40,074","40,126","40,117"
"West Point, MS Micro Area","20,634","20,648","20,560","20,496","20,397","20,355","20,146","20,005","19,854","19,621","19,404","19,316"
"Wheeling, WV-OH Metro Area","147,950","147,957","147,899","147,260","146,527","145,938","144,968","144,157","142,955","141,255","140,059","138,948"
"Whitewater, WI Micro Area","102,228","102,230","102,197","102,643","102,871","102,793","103,171","102,475","102,627","102,850","103,550","103,868"
"Wichita, KS Metro Area","623,061","623,061","623,887","625,327","628,159","630,365","632,810","635,551","637,653","637,511","637,519","640,218"
"Wichita Falls, TX Metro Area","151,306","151,474","151,649","150,311","151,040","151,448","151,867","150,083","150,327","150,956","150,955","151,254"
"Williamsport, PA Metro Area","116,111","116,102","116,225","116,748","117,222","116,598","116,290","115,598","114,876","114,012","113,866","113,299"
"Williston, ND Micro Area","22,398","22,399","22,589","24,406","26,735","29,591","32,106","35,301","34,213","33,467","35,469","37,589"
"Willmar, MN Micro Area","42,239","42,239","42,233","42,202","42,373","42,450","42,482","42,623","42,697","42,778","42,910","43,199"
"Wilmington, NC Metro Area","254,884","254,879","255,699","259,141","262,759","267,700","271,863","276,848","283,580","289,447","294,273","297,533"
"Wilmington, OH Micro Area","42,040","42,048","41,922","41,913","41,819","41,864","41,805","41,839","41,887","42,004","42,085","41,968"
"Wilson, NC Micro Area","81,234","81,224","81,294","81,155","81,396","81,189","81,007","81,240","81,307","81,436","81,392","81,801"
"Winchester, VA-WV Metro Area","128,472","128,452","128,652","129,954","130,910","132,278","133,526","134,284","135,739","138,020","139,492","140,566"
"Winfield, KS Micro Area","36,311","36,309","36,312","36,249","36,267","36,170","35,896","35,752","35,650","35,297","35,149","34,908"
"Winnemucca, NV Micro Area","16,528","16,521","16,584","16,639","17,071","17,354","17,215","17,017","16,795","16,719","16,778","16,831"
"Winona, MN Micro Area","51,461","51,461","51,435","51,355","51,343","51,332","51,059","50,827","50,861","50,718","50,735","50,484"
"Winston-Salem, NC Metro Area","640,595","640,503","641,245","644,266","646,794","649,901","653,250","656,277","661,024","666,640","671,129","676,008"
"Wisconsin Rapids-Marshfield, WI Micro Area","74,749","74,750","74,815","74,655","74,322","73,920","73,587","73,350","73,219","73,038","72,954","72,999"
"Woodward, OK Micro Area","24,232","24,235","24,156","24,151","24,750","25,373","25,654","25,831","25,060","24,501","24,251","24,070"
"Wooster, OH Micro Area","114,520","114,516","114,394","114,649","115,029","115,400","115,912","116,214","116,613","116,168","115,790","115,710"
"Worcester, MA-CT Metro Area","916,980","916,763","918,935","922,378","924,856","928,346","932,278","934,604","936,422","942,147","946,113","947,404"
"Worthington, MN Micro Area","21,378","21,378","21,425","21,621","21,736","21,797","21,698","21,748","21,878","21,671","21,744","21,629"
"Yakima, WA Metro Area","243,231","243,240","244,256","245,926","246,127","246,485","246,870","247,800","249,327","249,922","250,562","250,873"
"Yankton, SD Micro Area","22,438","22,438","22,436","22,500","22,584","22,641","22,676","22,682","22,649","22,682","22,759","22,814"
"Yauco, PR Metro Area","107,333","107,237","106,937","104,954","102,970","101,054","98,695","96,258","93,747","90,758","86,497","85,830"
"York-Hanover, PA Metro Area","434,972","435,015","435,413","436,701","437,466","438,932","440,475","441,741","443,693","445,484","447,847","449,058"
"Youngstown-Warren-Boardman, OH-PA Metro Area","565,773","565,782","564,826","562,347","558,530","555,850","553,039","548,798","544,582","541,545","538,226","536,081"
"Yuba City, CA Metro Area","166,892","166,898","167,099","166,971","166,963","167,597","168,311","169,327","170,694","172,782","173,905","175,639"
"Yuma, AZ Metro Area","195,751","195,750","197,127","202,841","202,475","202,420","204,054","205,186","207,247","209,507","211,612","213,787"
"Zanesville, OH Micro Area","86,074","86,086","86,214","86,243","85,794","85,649","85,905","86,194","85,993","86,123","86,131","86,215"
"Zapata, TX Micro Area","14,018","14,018","14,087","14,227","14,276","14,385","14,376","14,493","14,446","14,254","14,149","14,179"
