"Geographic Area Name (Grouping)","4/1/2010 Census population!!Population","4/1/2010 population estimates base!!Population","7/1/2010 population estimate!!Population","7/1/2011 population estimate!!Population","7/1/2012 population estimate!!Population","7/1/2013 population estimate!!Population","7/1/2014 population estimate!!Population","7/1/2015 population estimate!!Population","7/1/2016 population estimate!!Population","7/1/2017 population estimate!!Population","7/1/2018 population estimate!!Population","7/1/2019 population estimate!!Population"
"Red Bluff, CA Micro Area","63,463","63,440","63,559","63,331","63,212","62,875","62,801","63,158","63,453","63,847","64,018","65,084"
"Redding, CA Metro Area","177,223","177,221","177,274","177,588","177,875","178,397","178,844","178,314","178,571","179,384","179,709","180,080"
"Red Wing, MN Micro Area","46,183","46,184","46,210","46,099","46,140","46,106","46,016","46,060","46,226","46,307","46,299","46,340"
"Reno, NV Metro Area","425,417","425,442","425,951","427,901","431,208","434,878","440,110","446,329","453,709","460,605","468,335","475,642"
"Rexburg, ID Micro Area","50,778","50,785","50,817","51,017","50,628","50,399","50,703","50,801","51,886","52,492","52,416","53,006"
"Richmond, IN Micro Area","68,917","68,996","68,889","68,636","68,224","67,785","67,378","66,972","66,630","66,179","66,046","65,884"
"Richmond, VA Metro Area","1,186,501","1,186,471","1,188,246","1,197,059","1,211,015","1,222,549","1,235,006","1,246,665","1,258,471","1,269,566","1,281,053","1,291,900"
"Richmond-Berea, KY Micro Area","97,588","97,592","98,181","99,429","99,897","100,416","101,521","102,585","103,847","105,348","106,257","107,093"
"Rio Grande City-Roma, TX Micro Area","60,968","60,967","61,134","61,642","61,970","62,381","62,965","63,484","63,894","64,130","64,249","64,633"
"Riverside-San Bernardino-Ontario, CA Metro Area","4,224,851","4,224,948","4,242,424","4,294,897","4,334,716","4,369,493","4,415,343","4,461,227","4,512,041","4,565,909","4,612,542","4,650,631"
"Riverton, WY Micro Area","40,123","40,123","40,198","40,519","41,015","40,912","40,565","40,219","40,200","39,818","39,561","39,261"
"Roanoke, VA Metro Area","308,707","308,666","308,589","309,134","310,479","311,878","312,747","313,152","312,647","312,988","313,033","313,222"
"Roanoke Rapids, NC Micro Area","76,790","76,730","76,509","76,030","75,017","74,043","73,485","72,715","71,942","71,201","70,332","69,493"
"Rochelle, IL Micro Area","53,497","53,490","53,414","53,064","52,776","52,266","51,931","51,559","51,148","50,993","50,781","50,643"
"Rochester, MN Metro Area","206,877","206,888","207,222","208,473","209,547","211,502","212,659","213,933","216,163","217,993","219,814","221,921"
"Rochester, NY Metro Area","1,079,671","1,079,704","1,079,974","1,081,557","1,081,508","1,081,736","1,080,094","1,077,092","1,074,063","1,071,962","1,071,621","1,069,644"
"Rockford, IL Metro Area","349,431","349,431","349,184","347,773","345,819","344,692","342,409","340,727","339,635","338,194","337,110","336,116"
"Rockingham, NC Micro Area","46,639","46,647","46,635","46,651","46,359","46,133","45,771","45,429","45,012","44,827","44,888","44,829"
"Rockport, TX Micro Area","23,158","23,158","23,181","23,216","23,459","23,889","24,566","24,800","25,162","25,392","23,446","23,510"
"Rock Springs, WY Micro Area","43,806","43,806","43,574","43,986","45,002","45,157","44,948","44,719","44,222","43,464","42,858","42,343"
"Rocky Mount, NC Metro Area","152,392","152,368","152,405","151,790","150,862","149,843","149,066","147,529","147,236","146,775","146,078","145,770"
"Rolla, MO Micro Area","45,156","45,124","45,294","45,246","45,230","45,006","44,925","44,766","44,708","44,551","44,551","44,573"
"Rome, GA Metro Area","96,317","96,314","96,431","96,161","95,940","95,880","95,868","96,186","96,698","97,500","97,964","98,498"
"Roseburg, OR Micro Area","107,667","107,684","107,631","107,229","106,922","106,603","106,693","107,164","108,116","109,197","110,114","110,980"
"Roswell, NM Micro Area","65,645","65,648","65,720","65,720","65,765","66,009","65,809","65,825","65,646","65,080","64,554","64,615"
"Ruidoso, NM Micro Area","20,497","20,493","20,450","20,406","20,194","19,976","19,597","19,352","19,397","19,468","19,518","19,572"
"Russellville, AR Micro Area","83,939","83,936","84,255","84,651","84,455","84,407","84,885","85,114","85,399","85,143","85,056","85,413"
"Ruston, LA Micro Area","46,735","46,740","46,850","47,058","47,026","47,233","47,198","47,434","47,473","47,471","47,112","46,742"
"Rutland, VT Micro Area","61,642","61,660","61,586","61,235","60,803","60,488","60,039","59,544","59,122","59,006","58,596","58,191"
"Sacramento-Roseville-Folsom, CA Metro Area","2,149,127","2,149,150","2,153,613","2,172,948","2,190,266","2,210,512","2,235,640","2,263,121","2,291,533","2,319,572","2,341,940","2,363,730"
"Safford, AZ Micro Area","37,220","37,212","37,152","37,126","37,015","37,433","38,099","37,860","37,807","37,481","37,995","38,837"
"Saginaw, MI Metro Area","200,169","200,169","199,862","198,899","198,363","196,794","195,248","193,305","192,507","191,965","190,791","190,539"
"St. Cloud, MN Metro Area","189,093","189,093","189,218","190,090","190,562","191,552","193,109","195,425","196,912","198,436","200,166","201,964"
"St. George, UT Metro Area","138,115","138,115","138,389","141,249","144,139","146,987","151,081","154,650","159,352","165,929","171,567","177,556"
"St. Joseph, MO-KS Metro Area","127,329","127,319","127,271","127,700","127,908","127,635","127,261","126,724","126,597","126,323","125,998","125,223"
"St. Louis, MO-IL Metro Area","2,787,701","2,787,751","2,789,989","2,795,155","2,796,682","2,799,472","2,803,430","2,807,503","2,805,502","2,805,758","2,803,958","2,803,228"
"St. Marys, GA Micro Area","50,513","50,512","50,661","50,303","51,351","51,404","51,909","52,439","52,394","53,005","53,651","54,666"
"St. Marys, PA Micro Area","31,946","31,946","31,861","31,799","31,618","31,461","31,187","30,897","30,512","30,271","30,110","29,910"
